date,memory_npm_last_day,memory_npm_last_week,kit_npm_last_day,kit_npm_last_week,stars,forks,watchers,clones_14d,clones_uniques_14d,views_14d,views_uniques_14d
2026-06-22,52,52,249,260,0,0,0,,,,
2026-06-23,7,59,406,666,0,0,0,,,,
2026-06-24,4,63,491,1153,0,0,0,,,,
2026-06-25,138,201,437,1590,0,0,0,,,,
2026-06-26,138,201,437,1590,0,0,0,,,,
2026-06-27,156,508,293,2044,0,0,0,,,,
2026-06-28,222,730,409,2449,0,0,0,,,,
2026-06-29,403,1081,652,2852,0,0,0,,,,
2026-06-30,403,1081,652,2852,0,0,0,,,,
2026-07-01,403,1081,652,2852,0,0,0,,,,
2026-07-02,403,1081,652,2852,0,0,0,,,,
2026-07-03,319,1905,666,3350,0,0,0,,,,
2026-07-04,319,1905,666,3350,0,0,0,,,,
2026-07-05,355,2070,699,3736,0,0,0,,,,
2026-07-06,49,1716,254,3338,0,0,0,,,,
2026-07-07,49,1716,254,3338,0,0,0,,,,
2026-07-08,49,1716,254,3338,0,0,0,,,,
2026-07-09,49,1716,254,3338,0,0,0,,,,
2026-07-10,151,1139,236,3097,0,0,0,,,,
2026-07-11,151,1139,236,3097,0,0,0,,,,
2026-07-12,35,481,92,1973,0,0,0,,,,
2026-07-13,35,481,92,1973,0,0,0,,,,
2026-07-14,35,481,92,1973,0,0,0,,,,
2026-07-15,159,564,195,1725,0,0,0,,,,
2026-07-16,19,533,332,1393,0,0,0,,,,
2026-07-17,47,429,187,1344,0,0,0,,,,
2026-07-18,18,447,154,1498,0,0,0,,,,
2026-07-19,15,395,28,1056,0,0,0,,,,
2026-07-20,137,532,163,1219,0,0,0,,,,
2026-07-21,137,532,163,1219,0,0,0,,,,
2026-07-22,151,524,338,1362,0,0,0,,,,
2026-07-23,11,516,277,1307,0,0,0,,,,
2026-07-24,44,513,566,1686,0,0,0,,,,
2026-07-25,38,533,283,1815,0,0,0,,,,
2026-07-26,8,404,47,1702,0,0,0,,,,
2026-07-27,8,404,47,1702,0,0,0,,,,
2026-07-28,8,404,47,1702,0,0,0,,,,
2026-07-29,8,404,47,1702,0,0,0,,,,
2026-07-30,127,277,294,1948,0,0,0,,,,
2026-07-31,150,383,392,1774,0,0,0,,,,
2026-08-01,20,365,37,1528,0,0,0,,,,
2026-08-02,7,359,90,1319,0,0,0,,,,
2026-08-03,5,358,31,1350,0,0,0,,,,
2026-08-04,5,358,31,1350,0,0,0,,,,
2026-08-05,6,349,62,1014,0,0,0,,,,
2026-08-06,7,229,27,747,0,0,0,,,,
2026-08-07,27,106,9,364,0,0,0,,,,
2026-08-08,63,149,306,633,0,0,0,292,92,62,5
2026-08-09,17,254,141,576,0,0,0,299,91,73,5
2026-08-10,148,397,210,755,0,0,0,273,89,73,4
2026-08-11,148,397,210,755,0,0,0,212,78,77,3
2026-08-12,148,397,210,755,0,0,0,264,83,71,3
2026-08-13,148,397,210,755,0,0,0,249,81,59,3
2026-08-14,148,397,210,755,0,0,0,246,80,58,3
2026-08-15,148,397,210,755,0,0,0,246,80,58,3
2026-08-16,143,387,289,1295,0,0,0,282,75,67,4
2026-08-17,143,387,289,1295,0,0,0,282,75,67,4
2026-08-18,143,387,289,1295,0,0,0,282,75,67,4
2026-08-19,143,387,289,1295,0,0,0,288,69,69,5
2026-08-20,,,,,0,0,0,317,75,63,4
2026-08-21,43,404,177,935,0,0,0,330,74,57,5
2026-08-22,134,529,384,1247,0,0,0,358,78,52,5
2026-08-23,168,685,349,1477,0,0,0,387,72,40,4
2026-08-24,320,986,359,1657,0,0,0,426,74,34,4
2026-08-25,320,986,359,1657,0,0,0,460,80,29,4
2026-08-26,335,1163,428,1912,0,0,0,428,75,28,5
2026-08-27,181,1591,298,2455,0,0,0,448,76,57,7
2026-08-28,281,1738,472,2543,0,0,0,503,82,53,7
2026-08-29,63,1670,113,2486,0,0,0,503,82,53,7
2026-08-30,215,1717,265,2402,0,0,0,490,83,48,7
2026-08-31,215,1717,265,2402,0,0,0,493,84,46,6
2026-09-01,215,1717,265,2402,0,0,0,492,83,47,7
2026-09-02,215,1717,265,2402,0,0,0,491,81,49,8
2026-09-03,215,1717,265,2402,0,0,0,503,80,54,12
