date,memory_npm_last_day,memory_npm_last_week,kit_npm_last_day,kit_npm_last_week,stars,forks,watchers,clones_14d,clones_uniques_14d,views_14d,views_uniques_14d
2026-06-22,52,52,249,260,0,0,0,0,0,0,0
2026-06-23,7,59,406,666,0,0,0,0,0,0,0
2026-06-24,4,63,491,1153,0,0,0,0,0,0,0
2026-06-25,138,201,437,1590,0,0,0,0,0,0,0
2026-06-26,138,201,437,1590,0,0,0,0,0,0,0
2026-06-27,156,508,293,2044,0,0,0,0,0,0,0
2026-06-28,222,730,409,2449,0,0,0,0,0,0,0
2026-06-29,403,1081,652,2852,0,0,0,0,0,0,0
2026-06-30,403,1081,652,2852,0,0,0,0,0,0,0
2026-07-01,403,1081,652,2852,0,0,0,0,0,0,0
2026-07-02,403,1081,652,2852,0,0,0,0,0,0,0
2026-07-03,319,1905,666,3350,0,0,0,0,0,0,0
2026-07-04,319,1905,666,3350,0,0,0,0,0,0,0
2026-07-05,355,2070,699,3736,0,0,0,0,0,0,0
2026-07-06,49,1716,254,3338,0,0,0,0,0,0,0
2026-07-07,49,1716,254,3338,0,0,0,0,0,0,0
2026-07-08,49,1716,254,3338,0,0,0,0,0,0,0
2026-07-09,49,1716,254,3338,0,0,0,0,0,0,0
2026-07-10,151,1139,236,3097,0,0,0,0,0,0,0
2026-07-11,151,1139,236,3097,0,0,0,0,0,0,0
2026-07-12,35,481,92,1973,0,0,0,0,0,0,0
2026-07-13,35,481,92,1973,0,0,0,0,0,0,0
2026-07-14,35,481,92,1973,0,0,0,0,0,0,0
2026-07-15,159,564,195,1725,0,0,0,0,0,0,0
2026-07-16,19,533,332,1393,0,0,0,0,0,0,0
2026-07-17,47,429,187,1344,0,0,0,0,0,0,0
2026-07-18,18,447,154,1498,0,0,0,0,0,0,0
2026-07-19,15,395,28,1056,0,0,0,0,0,0,0
2026-07-20,137,532,163,1219,0,0,0,0,0,0,0
2026-07-21,137,532,163,1219,0,0,0,0,0,0,0
